#Generated on 2020/10/24-14:31:29
#code,serialNumber,componentType,type,institution,currentLocation,assembled,alternativeIdentifier
c9e3513f26917fa4bda76865f3397efc,20USES10000120,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W120
567c2ee9238c49c4a9897ec822f41e5d,20USES10000161,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W161
047d84f06af4ecd9ad9a479bd451aecf,20USES10000160,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W160
077d95d8e4b36fee72443e7612e41494,20USES10000159,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W159
884312d6cb24c2681ee222440673130b,20USES10000135,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W135
fb4830f3155639ddf3650c81ea16034f,20USES10000134,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W134
561f3ec959056cedae3b1e57e421f576,20USES10000133,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W133
23d31e54bc1b9dc75fcdbae3d671fe27,20USES10000130,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W130
3afce4d8a0d6b7c47477ecbef148e2ed,20USES10000129,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W129
1a68dc22b14cd3bbac1682fb8b8b7baf,20USES10000128,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W128
48e7bb2807a3265d6bb41baf3557811b,20USES10000127,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W127
34fa8044ea7285bf0b5368a477bfded8,20USES10000126,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W126
1d7390e14037deb345f167849f4d378d,20USES10000125,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W125
12de083ac17bffd18b7f09c9fe2e57ae,20USES10000124,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W124
8d03962c10773347908095e589a1e45f,20USES10000123,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W123
857ad185ce66eef0ac42d0108d15f82a,20USES10000122,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W122
0c7f5ed2c6117c3802c30faf51212a36,20USES10000121,SENSOR,ATLAS18R1,CERN,FZU,False,VPX34147-W121
c9bc7a50181456f8f134048eed06445c,20USES20000066,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W066
0cfb31e3c64ce62ea1484cb50fc2308b,20USES20000064,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W064
87cf9b17d1623865c96534f1b4ed454a,20USES20000063,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W063
613270acd778154dc771fd4422400149,20USES20000061,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W061
72d458cd84188ee87e3f9c91000a4631,20USES20000060,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W060
53b0b4f25d4d8df84adace7c6c675644,20USES20000058,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W058
60e645d1a5df72b6c85ec0d0cec9ea07,20USES20000057,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W057
d103368ae767c19905d2b0e346e597f3,20USES20000056,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W056
4725f16611ba883f0bd26520480223d0,20USES20000054,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W054
730521b94e8f3fd9703698866bcc9d6b,20USES20000053,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W053
d50f2f376b56f1cb316d361bfcf67e71,20USES20000052,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32588-W052
5fb5113c8c054a83a6cbcb922b719a93,20USES20000048,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32502-W048
19b2b27683b7028c9f32e1b24d8d19ad,20USES20000047,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32502-W047
6a9ae49640733a52063b253ca48163bb,20USES20000045,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32502-W045
92349d1e673331b3fdcc1b66533da305,20USES20000039,SENSOR,ATLAS18R2,CERN,FZU,False,VPX32502-W039
e7dfd86cba9e879246bb16df7ed5a45f,20USES00000072,SENSOR,ATLAS18R0,CERN,FZU,False,VPX32586-W072
543bab2644cc42fabec94ab81492b9aa,20USES00000071,SENSOR,ATLAS18R0,CERN,FZU,False,VPX32586-W071
48441349130415794517fb24113eda00,20USES00000070,SENSOR,ATLAS18R0,CERN,FZU,False,VPX32586-W070
1aea133448680a3f3b1e6057c8dd633e,20USES00000068,SENSOR,ATLAS18R0,CERN,FZU,False,VPX32586-W068
cdae10fa2f745452e61b5e4e48cb961e,20USES00000067,SENSOR,ATLAS18R0,CERN,FZU,False,VPX32586-W067
d55cafb3f226519905ca708994543f05,20USES00000066,SENSOR,ATLAS18R0,CERN,FZU,False,VPX32586-W066
6fb0cbc6e15487433abe17534db3667a,20USES00000065,SENSOR,ATLAS18R0,CERN,FZU,False,VPX32586-W065
